"číslo účtu";"datum zaúčtování";"částka";"měna";"zůstatek";"číslo účtu protiúčtu";"kód banky protiúčtu";"název účtu protiúčtu";"konstantní symbol";"variabilní symbol";"specifický symbol";"označení operace";"ID transakce";"poznámka";"O"
"123456789/0300";"07.10.2019";"1240,2";"CZK";"10513,68";"";"";"";"1176";"13424321";"412343214";"Splátka úvěru";"8130954728";"";"Jistina: 1240,20"
"123456789/0300";"20.09.2019";"-79";"CZK";"9061,32";"";"";"";"6178";"41234231";"54325";"Čerpání úvěru platební kartou";"8100017660";"";""
"123456789/0300";"17.09.2019";"-211,81";"CZK";"9158,55";"";"";"";"6178";"4231422";"6265346";"Čerpání úvěru platební kartou";"8092878721";"";""
"123456789/0300";"26.08.2019";"-2990";"CZK";"10182,35";"";"";"";"6178";"41234321";"7676547";"Čerpání úvěru platební kartou";"8045396093";"";""
"123456789/0300";"09.08.2019";"-4997";"CZK";"13848,35";"";"";"";"6178";"234142134";"874754";"Čerpání úvěru platební kartou";"8012581884";"";""
"123456789/0300";"22.07.2019";"50000";"CZK";"20827,59";"111222333";"300";"DOLECEK PAVEL";"968";"";"";"Splátka úvěru";"7976339462";"";"Jistina: 50000,00"
"123456789/0300";"30.04.2019";"630,75";"CZK";"3322,65";"10751-111222333";"300";"REKLAMACE PK MC";"";"4321423141";"48758754";"Splátka úvěru";"7805980774";"";"Jistina: 630,75"
"123456789/0300";"12.03.2019";"-350,69";"CZK";"-12471,01";"";"";"";"6178";"431243214";"8745875";"Čerpání úvěru platební kartou";"7705383611";"";""
"123456789/0300";"11.01.2019";"-208";"CZK";"-11107,3";"";"";"";"6178";"5425435";"487874584";"Čerpání úvěru platební kartou";"7586469269";"";""
